Id,Name,English,Source,Descriptor,School,Alchemist,AntiPaladin,Bard,Cleric,Druid,Inquisitor,Summoner,Magus,Oracle,Paladin,Ranger,Witch,Wizard,Components,Range,Target,CastingTime,Summary,FrUrl,EnUrl
forbid-action,Action interdite,Forbid Action,um,"LanguageDependent, MindAffecting",Enchantment,,,,1,,1,,,,,,,,Verbal,Close,une créature,SimpleAction,La cible obéit au personnage qui lui interdit de faire quelque chose.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Action interdite.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/forbidAction.html#_forbid-action
planar-adaptation-mass,Adaptation planaire de groupe,"Planar Adaptation, Mass",apg,None,Transmutation,,,,6,,,6,,,,,,7,"Verbal, Somatic",Close,"une créature/niveau, qui doivent se trouver à moins de 9 m (6 c) les unes des autres",SimpleAction,Comme adaptation planaire mais affecte des cibles multiples.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Adaptation planaire de groupe.ashx,"http://paizo.com/pathfinderRPG/prd/advanced/spells/planarAdaptation.html#_planar-adaptation,-mass"
planar-adaptation,Adaptation planaire,Planar Adaptation,apg,None,Transmutation,5,,,4,,,5,,,,,,5,Verbal,Personal,lanceur de sorts,SimpleAction,Résiste aux effets néfastes d'un plan.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Adaptation planaire.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/planarAdaptation.html#_planar-adaptation
adoration,Adoration,Adoration,uc,None,Transmutation,,,1,,,,,,,,,2,2,"Verbal, Somatic",Close,une créature vivante,SimpleAction,Le personnage gagne un bonus aux tests de Diplomatie et de combat de spectacle.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Adoration.ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/adoration.html
keen-edge,Affûtage,Keen Edge,,None,Transmutation,,,,,,3,,3,,,,,3,"Verbal, Somatic",Close,arme touchée ou 50 projectiles devant être en contact les uns avec les autres au moment de l’incantation,SimpleAction,Double la zone de critique possible d'une arme.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Affûtage.ashx,http://paizo.com/pathfinderRPG/prd/spells/keenEdge#keen-edge
agonize,Agonie,Agonize,um,"Evil, Pain",Evocation,,,,3,,,3,,,,,,4,"Verbal, Somatic",Close,un extérieur ou un élémentaire invoqué (voir texte),SimpleAction,La douleur encourage un extérieur à obéir au personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Agonie.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/agonize.html#_agonize
enlarge-person-mass,Agrandissement de groupe,"Enlarge Person, Mass",,None,Transmutation,,,,,,,3,4,,,,,4,"Verbal, Somatic, Material",Close,"1 créature humanoïde/niveau, chacune ne devant pas se trouver à plus de 9 m des autres",1 Round,Agrandit plusieurs créatures.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Agrandissement de groupe.ashx,http://paizo.com/pathfinderRPG/prd/spells/enlargePerson#enlarge-person-mass
enlarge-person,Agrandissement,Enlarge Person,,None,Transmutation,1,,,,,,1,1,,,,1,1,"Verbal, Somatic, Material",Close,1 créature humanoïde,1 Round,Double la taille d'un humanoïde.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Agrandissement.ashx,http://paizo.com/pathfinderRPG/prd/spells/enlargePerson#enlarge-person
aid,Aide,Aid,,MindAffecting,Enchantment,2,,,2,,2,,,,,,,,"Verbal, Somatic, DivineFocus",Touch,la créature vivante touchée,SimpleAction,"+1 aux jets d'attaque et de sauvegarde contre la terreur, 1d8 pv temporaires, +1/niveau (max. +10).",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Aide.ashx,http://paizo.com/pathfinderRPG/prd/spells/aid#aid
persuasive-goad,Aiguillon persuasif,Persuasive Goad,um,Pain,Necromancy,,,,,,1,,,,,,,,"Verbal, Somatic",Close,une créature,SimpleAction,"La cible subit 1d6 points de dégâts non létaux, le personnage gagne un bonus d'Intimidation.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Aiguillon persuasif.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/persuasiveGoad.html#_persuasive-goad
eagle-aerie,Aire de l'aigle,Eagle Aerie,um,Good,Conjuration,,,,,6,,6,,,,,,,"Verbal, Somatic, DivineFocus",Long,convoque des aigles géants,1 Round,Convoque 1 aigle géant/3 niveaux.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Aire de laigle.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/eagleAerie.html#_eagle-aerie
alarm,Alarme,Alarm,,None,Abjuration,,,1,,,1,1,,,,1,,1,"Verbal, Somatic, FocusOrDivineFocus",Close,émanation de 6 m (4 c) de rayon autour du point choisi,SimpleAction,Protège une zone pendant 2 heures/niveau.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Alarme.ashx,http://paizo.com/pathfinderRPG/prd/spells/alarm#alarm
insanity,Aliénation mentale,Insanity,,MindAffecting,Enchantment,,,,,,,,,,,,7,7,"Verbal, Somatic",Medium,1 créature vivante,SimpleAction,La cible souffre en permanence de confusion.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Aliénation mentale.ashx,http://paizo.com/pathfinderRPG/prd/spells/insanity#insanity
undetectable-alignment,Alignement indétectable,Undetectable Alignment,,None,Abjuration,2,2,1,2,,2,,,,2,,,,"Verbal, Somatic",Close,1 créature ou 1 objet,SimpleAction,Masque l'alignement pendant 24 heures.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Alignement indétectable.ashx,http://paizo.com/pathfinderRPG/prd/spells/undetectableAlignment#undetectable-alignment
allegro,Allegro,Allegro,um,None,Transmutation,,,2,,,,,,,,,,,Verbal,Personal,lanceur de sorts,SimpleAction,Rapidité pendant la représentation bardique.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allegro.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/allegro.html#_allegro
compassionate-ally,Allié compatissant,Compassionate Ally,um,"MindAffecting, Emotion",Enchantment,,,2,2,,,,,,,,,2,"Verbal, Somatic",Close,une créature,SimpleAction,"La cible est obligée d'aider un allié blessé. ",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié compatissant.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/compassionateAlly.html#_compassionate-ally
planar-ally-lesser,Allié d'outreplan,"Planar Ally, Lesser",,None,Conjuration,,,,4,,,,,,,,,,"Verbal, Somatic, Material",Close,1 Extérieur de 6 DV maximum appelé,10 Minute,Échange de services avec une créature extraplanaire à 6 DV.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié doutreplan.ashx,http://paizo.com/pathfinderRPG/prd/spells/planarAlly#planar-ally-lesser
unwitting-ally,Allié involontaire,Unwitting Ally,apg,MindAffecting,Enchantment,,,0,,,,,,,,,,,"Verbal, Somatic",Close,une créature vivante,SimpleAction,Le sujet est considéré comme l'allié du personnage pendant 1 round.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié involontaire.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/unwittingAlly.html#_unwitting-ally
planar-ally,Allié majeur d'outreplan,Planar Ally,,None,Conjuration,,,,6,,,,,,,,,,"Verbal, Somatic, Material",Close,"1 ou 2 Extérieurs appelés (ne totalisant pas plus de 12 DV), apparaissant à 9 m ou moins les uns des autres",10 Minute,"Comme allié d'outreplan, mais jusqu'à 12 DV.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié majeur doutreplan.ashx,http://paizo.com/pathfinderRPG/prd/spells/planarAlly#planar-ally
spiritual-ally,Allié spirituel,Spiritual Ally,apg,None,Evocation,,,,4,,,,,,,,,,"Verbal, Somatic, DivineFocus",Medium,allié fait de force spirituelle,SimpleAction,Crée un allié divin pour aider le personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié spirituel.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/spiritualAlly.html#_spiritual-ally
planar-ally-greater,Allié suprême d'outreplan,"Planar Ally, Greater",,None,Conjuration,,,,8,,,,,,,,,,"Verbal, Somatic, Material",Close,"jusqu’à 3 Extérieurs appelés (ne totalisant pas plus de 18 DV), apparaissant à 9 m ou moins les uns des autres",10 Minute,"Comme allié d'outreplan, mais jusqu'à 18 DV.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Allié suprême doutreplan.ashx,http://paizo.com/pathfinderRPG/prd/spells/planarAlly#planar-ally-greater
vocal-alteration,Altération vocale,Vocal Alteration,um,None,Transmutation,1,,1,,,1,,,,,,1,1,"Verbal, Somatic",Close,une créature humanoïde,SimpleAction,Déguise la voix.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Altération vocale.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/vocalAlteration.html#_vocal-alteration
forest-friend,Ami de la forêt,Forest Friend,uc,None,Abjuration,,,,,2,,,,,,2,,,"Verbal, Somatic, Focus",Close,"une créature consentante par tranche de trois niveaux, elles doivent toutes se trouver à moins de 9 m (6 c) les unes des autres",1 Round,Les plantes forestières se montrent serviables envers le personnage et ses alliés au lieu d’entraver leurs déplacements.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Ami de la forêt.ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/forestFriend.html
amplify-elixir,Amplification d'élixir,Amplify Elixir,apg,None,Transmutation,3,,,,,,,,,,,,,Somatic,Personal,lanceur de sorts,SimpleAction,Augmente la puissance ou la durée des effets d'une potion ou d'un élixir.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Amplification délixir.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/amplifyElixir.html#_amplify-elixir
analyze-dweomer,Analyse d'enchantement,Analyze Dweomer,,None,Divination,6,,6,,,,,,,,,6,6,"Verbal, Somatic, Focus",Close,1 créature ou 1 objet par niveau de lanceur de sorts,SimpleAction,Révèle les propriétés magiques.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Analyse denchantement.ashx,http://paizo.com/pathfinderRPG/prd/spells/analyzeDweomer#analyze-dweomer
doom,Anathème,Doom,,None,Necromancy,,1,,1,,1,,,,,,,,"Verbal, Somatic, DivineFocus",Medium,1 créature vivante,SimpleAction,"Inflige un malus de -2 aux jets d'attaque, aux jets de sauvegarde et aux tests.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anathème.ashx,http://paizo.com/pathfinderRPG/prd/spells/doom#doom
undead-anatomy-i,Anatomie morte-vivante I,Undead Anatomy I,um,None,Transmutation,3,,,,,,,3,,,,,3,"Verbal, Somatic, Material",Personal,lanceur de sorts,SimpleAction,Prend la forme et les pouvoirs de morts-vivants P ou M.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anatomie morte-vivante I.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/undeadAnatomy.html#_undead-anatomy-i
undead-anatomy-ii,Anatomie morte-vivante II,Undead Anatomy II,um,None,Transmutation,5,,,,,,,5,,,,,5,"Verbal, Somatic, Material",Personal,lanceur de sorts,SimpleAction,Prend la forme et les pouvoirs de morts-vivants TP ou G.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anatomie morte-vivante II.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/undeadAnatomy.html#_undead-anatomy-ii
undead-anatomy-iii,Anatomie morte-vivante III,Undead Anatomy III,um,None,Transmutation,6,,,,,,,6,,,,,6,"Verbal, Somatic, Material",Personal,lanceur de sorts,SimpleAction,Prend la forme et les pouvoirs de morts-vivants de taille Min ou TG.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anatomie morte-vivante III.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/undeadAnatomy.html#_undead-anatomy-iii
undead-anatomy-iv,Anatomie morte-vivante IV,Undead Anatomy IV,um,None,Transmutation,,,,,,,,,,,,,8,"Verbal, Somatic, Material",Personal,lanceur de sorts,SimpleAction,Comme forme de mort-vivant III mais avec plus de pouvoirs.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anatomie morte-vivante IV.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/undeadAnatomy.html#_undead-anatomy-iv
dimensional-anchor,Ancre dimensionnelle,Dimensional Anchor,,None,Abjuration,,,,4,,3,3,,,,,,4,"Verbal, Somatic",Medium,rayon,SimpleAction,Empêche tout déplacement extradimensionnel.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Ancre dimensionnelle.ashx,http://paizo.com/pathfinderRPG/prd/spells/dimensionalAnchor#dimensional-anchor
anthropomorphic-animal,Animal anthropomorphe,Anthropomorphic Animal,um,None,Transmutation,,,,,3,,,,,,,3,3,"Verbal, Somatic, Material",Touch,animal touché,SimpleAction,Un animal devient bipède.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animal anthropomorphe.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/anthropomorphicAnimal.html#_anthropomorphic-animal
animate-dead-lesser,Animation des morts mineure,"Animate Dead, Lesser",um,Evil,Necromancy,,,,2,,,,,,,,,3,"Verbal, Somatic, Material",Touch,un cadavre,SimpleAction,Crée un squelette ou un zombi.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animation des morts mineure.ashx,"http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/animateDead.html#_animate-dead,-lesser"
animate-dead,Animation des morts,Animate Dead,,Evil,Necromancy,,3,,3,,,,,,,,,4,"Verbal, Somatic, Material",Touch,le ou les cadavres touchés,SimpleAction,Crée squelettes et zombis morts-vivants.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animation des morts.ashx,http://paizo.com/pathfinderRPG/prd/spells/animateDead#animate-dead
animate-plants,Animation des plantes,Animate Plants,,None,Transmutation,,,,,7,,,,,,,,,Verbal,Close,"une plante de taille G par tranche de 3 niveaux de lanceur de sorts, ou toutes les plantes situées à portée (voir description)",SimpleAction,Une ou plusieurs plantes s'animent et attaquent les adversaires du PJ.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animation des plantes.ashx,http://paizo.com/pathfinderRPG/prd/spells/animatePlants#animate-plants
animate-objects,Animation d'objets,Animate Objects,,None,Transmutation,,,6,6,,,,,,,,6,,"Verbal, Somatic",Medium,un objet de taille P par niveau de lanceur de sorts (voir description),SimpleAction,Les objets attaquent les adversaires du PJ.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animation dobjets.ashx,http://paizo.com/pathfinderRPG/prd/spells/animateObjects#animate-objects
temporal-stasis,Animation suspendue,Temporal Stasis,,None,Transmutation,,,,,,,,,,,,,8,"Verbal, Somatic, Material",Touch,créature touchée,SimpleAction,Met la cible en état de stase.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Animation suspendue.ashx,http://paizo.com/pathfinderRPG/prd/spells/temporalStasis#temporal-stasis
undeath-to-death,Annihilation de mort-vivant,Undeath To Death,,None,Necromancy,,,,6,,6,5,,,,,,6,"Verbal, Somatic, FocusOrDivineFocus",Medium,plusieurs morts-vivants situés dans un rayonnement de 12 m de rayon,SimpleAction,Détruit 1d4 DV de morts-vivants/niveau (max. 20d4).,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Annihilation de mort-vivant.ashx,http://paizo.com/pathfinderRPG/prd/spells/undeathToDeath#undeath-to-death
break-enchantment,Annulation d'enchantement,Break Enchantment,,None,Abjuration,,,4,5,,5,5,,,4,,5,5,"Verbal, Somatic",Close,"jusqu’à 1 créature/niveau, chacune ne devant pas se trouver à plus de 9 m des autres",1 Minute,"Libère la cible des enchantements, des altérations, des malédictions et de la pétrification.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Annulation denchantement.ashx,http://paizo.com/pathfinderRPG/prd/spells/breakEnchantment#break-enchantment
anticipate-peril,Anticipation du danger,Anticipate Peril,um,None,Divination,1,,1,,,,,,,,1,,1,"Verbal, Somatic",Touch,une créature,SimpleAction,La cible gagne un bonus à un test d'initiative.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Anticipation du danger.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/anticipatePeril.html#_anticipate-peril
nondetection-communal,Antidétection (partagé),"Nondetection, Communal",uc,None,Abjuration,,4,,,,,,,,,,,4,"Verbal, Somatic, FocusOrDivineFocus",Touch,créatures ou objets touchés,SimpleAction,Comme antidétection mais la durée d’effet se divise entre les créatures touchées.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Antidétection (partagé).ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/nondetection.html
nondetection,Antidétection,Nondetection,,None,Abjuration,3,3,,,,3,3,,,,4,,3,"Verbal, Somatic, Material",Touch,créature ou objet touché,SimpleAction,Protège contre la scrutation et les divinations.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Antidétection.ashx,http://paizo.com/pathfinderRPG/prd/spells/nondetection#nondetection
soothe-construct,Apaisement de créatures artificielles,Soothe Construct,um,None,Abjuration,,,,4,,,,,,,,,5,"Verbal, Somatic",Close,une créature artificielle,1 Round,Réduit les chances qu'une créature artificielle devienne berserk.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Apaisement de créatures artificielles.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/sootheConstruct.html#_soothe-construct
calm-animals,Apaisement des animaux,Calm Animals,,None,Enchantment,,,,,1,,,,,,1,,,"Verbal, Somatic",Close,animaux distants de 9 m ou moins les uns des autres,SimpleAction,Calme (2d4 + niveau) DV d'animaux.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Apaisement des animaux.ashx,http://paizo.com/pathfinderRPG/prd/spells/calmAnimals#calm-animals
calm-emotions,Apaisement des émotions,Calm Emotions,,None,Enchantment,,,2,2,,2,,,,,,,,"Verbal, Somatic, DivineFocus",Medium,créatures situées dans une étendue de 6 m (4 c) de rayon,SimpleAction,Calme des créatures.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Apaisement des émotions.ashx,http://paizo.com/pathfinderRPG/prd/spells/calmEmotions#calm-emotions
cacophonous-call-mass,Appel cacophonique de groupe,"Cacophonous Call, Mass",apg,None,Enchantment,,,5,,,,,,,,,,,"Verbal, Somatic, Material",Close,une créature/niveau (les cibles ne doivent pas être éloignées de plus de 9 m (6 c) les unes des autres),SimpleAction,Rend de multiples cibles nauséeuses.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel cacophonique de groupe.ashx,"http://paizo.com/pathfinderRPG/prd/advanced/spells/cacophonousCall.html#_cacophonous-call,-mass"
cacophonous-call,Appel cacophonique,Cacophonous Call,apg,None,Enchantment,,,2,,,,,,,,,,,"Verbal, Somatic, Material",Close,une créature,SimpleAction,Rend la cible nauséeuse.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel cacophonique.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/cacophonousCall.html#_cacophonous-call
call-construct,Appel de créature artificielle,Call Construct,um,None,Conjuration,,,,8,,,,,,,,,8,"Verbal, Somatic, Material",Touch,créature artificielle touchée,10 Minute,Appelle un golem auprès du personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel de créature artificielle.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/callConstruct.html#_call-construct
call-lightning,Appel de la foudre,Call Lightning,,Electricity,Evocation,,,,,3,,,,,,,,,"Verbal, Somatic",Medium,1 ou plusieurs traits de foudre verticaux de 9 m (6 c) de long,1 Round,Appelle la foudre (3d6 points de dégâts par éclair).,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel de la foudre.ashx,http://paizo.com/pathfinderRPG/prd/spells/callLightning#call-lightning
call-lightning-storm,Appel de la tempête,Call Lightning Storm,,Electricity,Evocation,,,,,5,,,,,,,,,"Verbal, Somatic",Long,1 ou plusieurs traits de foudre verticaux de 9 m (6 c) de long,1 Round,"Comme appel de la foudre, mais 5d6 points de dégâts par éclair.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel de la tempête.ashx,http://paizo.com/pathfinderRPG/prd/spells/callLightningStorm#call-lightning-storm
stone-call,Appel des pierres,Stone Call,apg,Earth,Conjuration,,,,,2,,,2,,,2,,2,"Verbal, Somatic, DivineFocus",Medium,"cylindre (12 m (8 c) de rayon, 6 m (4 c) de haut)",SimpleAction,2d6 points de dégâts à toutes les créatures de la zone.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel des pierres.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/stoneCall.html#_stone-call
knight's-calling,Appel du chevalier,Knight's Calling,apg,None,Enchantment,,,,,,,,,,1,,,,"Verbal, DivineFocus",Close,une créature,SimpleAction,Oblige la cible à s'avancer vers le personnage et à le combattre.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel du chevalier.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/knightsCalling.html#_knight-s-calling
call-animal,Appel d'un animal,Call Animal,apg,None,Enchantment,,,,,1,,,,,,1,,,"Verbal, Somatic, DivineFocus",voir description,un animal dont le FP est égal ou inférieur au niveau de lanceur de sorts du personnage,SimpleAction,Fait venir un animal au personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel dun animal.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/callAnimal.html#_call-animal
purified-calling,Appel purifié,Purified Calling,apg,None,Conjuration,,,,,,,4,,,,,,,"Verbal, Somatic, Material",Personal,lanceur de sort,SimpleAction,L'eidolon invoqué est entièrement guéri.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Appel purifié.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/purifiedCalling.html#_purified-calling
blood-transcription,Apprentissage par le sang,Blood Transcription,um,Evil,Divination,2,,,,,,,2,,,,2,2,"Verbal, Somatic",Touch,un lanceur de sorts mort,SimpleAction,Apprend un sort grâce au sang de la cible.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Apprentissage par le sang.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/bloodTranscription.html#_blood-transcription
siege-of-trees-greater,Arbres de siège supérieur,"Siege of Trees, Greater",uc,None,Transmutation,,,,,9,,,,,,,,,"Verbal, Somatic, Focus",Close,"une plante G, TG ou Gig tous les trois niveaux",10 Minute,Comme arbres de siège mais transforme aussi des arbres TG ou Gig en catapultes végétales de même taille.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Arbres de siège supérieur.ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/siegeOfTrees.html
